material_id,formula,band_gap,volume,density,crystal_system,Lattice_a,Lattice_b,Lattice_c,Alpha,Beta,Gamma
mp-1228953,Al2GaN3,3.1754,128.8546872,4.270881986,mono,5.94925049,5.94925049,7.414385207,75.71690406,75.71690406,30.52477267
mp-1246874,Al2InN3,2.7789,142.3713232,4.917332826,ortho,5.628990086,5.611030275,5.1994618,89.9999906,90.00001133,119.8945712
mp-1019378,Al3GaN4,3.3499,85.26757714,4.025259826,cubic,4.40143853,4.40143853,4.40143853,90,90,90
mp-1228436,Al3GaN4,3.4073,85.19889294,4.028504842,mono,3.12543778,5.03769359,5.411173124,89.96446562,90,90
mp-1228691,Al4GaSb5,0.986836942,302.2957579,4.320039274,ortho,11.65411469,11.65411469,11.65411469,158.1881639,149.0200978,38.20925421
mp-2172,AlAs,1.5007,45.71109525,3.701817731,cubic,4.013398251,4.013397971,4.01339746,59.99999597,59.99999827,59.99999654
mp-8881,AlAs,1.6862,91.25387576,3.708645611,hex_,4.002394,4.002394104,6.577805,90,90,119.9999991
mp-988945,AlAs,0.3385,346.3225811,3.908821478,cubic,7.02253,7.02253,7.02253,90,90,90
mp-1019508,AlGa3N4,2.1808,89.41568612,5.426026538,cubic,4.47168536,4.47168536,4.47168536,90,90,90
mp-1228943,AlGa3N4,2.2393,89.36426023,5.42914902,mono,3.16707762,5.145589772,5.483654669,89.96115767,90,90
mp-1228891,AlGaAs2,0.7005,91.21657145,4.488243153,trig,6.943492861,6.943492861,6.943492733,33.57881129,33.57881129,33.5788236
mp-1008556,AlGaN2,2.6691,43.64164186,4.745444965,tet,3.140877049,3.140877049,4.42383794,90,90,90
mp-1228894,AlGaN2,2.72,43.66723617,4.742663557,trig,3.145282644,3.145282644,5.09689373,90,90,119.9999685
mp-1228888,AlGaP2,1.6344,81.51786119,3.2317819,tet,3.86549234,3.86549234,5.45560781,90,90,90
mp-1228895,AlGaSb2,0.1727,116.9035855,4.832667331,trig,7.541064407,7.541064407,7.541064522,33.58688952,33.58688952,33.58688732
